option_id,security_name,S0,K,T,r,sigma,option_type,n_steps,mc_n_sims,mc_n_steps,random_number_generator,mc_price_with_cv,mc_price_no_cv,mc_price_difference
44,G9J6C 70.5 Comdty,73.16999816894531,70.5,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.8152976717560065,6.256460814291045,-0.4411631425350384
45,G9J6C 71.85 Comdty,73.16999816894531,71.85,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.040096681053639,5.407190200795243,-0.3670935197416032
46,G9J6C 72.75 Comdty,73.16999816894531,72.75,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.555224096225966,4.881791879040232,-0.32656778281426657
47,G9J6C 74 Comdty,73.16999816894531,74.0,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.945646182925266,4.162064948232972,-0.2164187653077061
48,G9J6C 74.4 Comdty,73.16999816894531,74.4,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.75755142532909,3.9077629397484124,-0.15021151441932235
49,G9J6C 75.31 Comdty,73.16999816894531,75.31,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.3620754165468187,3.4487459775439144,-0.08667056099709569
50,G9J6C 76.55 Comdty,73.16999816894531,76.55,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.8710310073974594,3.0698080803782704,-0.19877707298081093
51,G9J6C 76.6 Comdty,73.16999816894531,76.6,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.853674277204522,2.974275770835321,-0.12060149363079908
52,G9J6C 77 Comdty,73.16999816894531,77.0,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.708737764457139,2.937908591381634,-0.22917082692449497
53,G9J6C 77.4 Comdty,73.16999816894531,77.4,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.5650717193684978,2.7389134059884346,-0.17384168661993682
54,G9J6C 78.27 Comdty,73.16999816894531,78.27,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.2839510317638525,2.4890299620531677,-0.20507893028931523
55,G9J6C 78.45 Comdty,73.16999816894531,78.45,1.2547945205479452,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.2292780422482967,2.414857741991956,-0.18557969974365918
56,G9J7C 69 Comdty,73.16999816894531,69.0,2.254794520547945,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,8.087000220373222,8.789727052428733,-0.7027268320555109
57,G9K6C 69.5 Comdty,73.16999816894531,69.5,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.566746843218342,6.970804893795337,-0.40405805057699506
58,G9K6C 70.85 Comdty,73.16999816894531,70.85,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.745394444927167,6.099123620753054,-0.3537291758258867
59,G9K6C 71.1 Comdty,73.16999816894531,71.1,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.601226956798334,6.047824907761213,-0.4465979509628788
60,G9K6C 71.85 Comdty,73.16999816894531,71.85,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.178638336971471,5.572962236427135,-0.3943238994556646
61,G9K6C 72.75 Comdty,73.16999816894531,72.75,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.701432992642881,4.969247124471169,-0.2678141318282874
62,G9K6C 74 Comdty,73.16999816894531,74.0,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.088660928782177,4.334544819850677,-0.24588389106849995
63,G9K6C 74.4 Comdty,73.16999816894531,74.4,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.9058710598771635,4.215457496966475,-0.30958643708931133
64,G9K6C 75 Comdty,73.16999816894531,75.0,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.6399377794705305,3.8236718385803954,-0.18373405910986484
65,G9K6C 76.55 Comdty,73.16999816894531,76.55,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.0105505684537492,3.175986484232032,-0.16543591577828254
